condition,fold,round_id,run_id,receipt_type,arm,n,wet_mean,wet_median,wet_max,predicted_mean,fraction_le_0_05,fraction_ge_2
kg_base_al,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,active_learning_8_4_4,exploitation,8,2.89270093343,2.80735789402,3.95087308632,2.92642301321,0,0.875
kg_base_al,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,active_learning_8_4_4,exploration,4,0.424039873896,0.317014755621,1.00182184448,1.30973091722,0,0
kg_base_al,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,active_learning_8_4_4,knowledge,4,2.09339026322,2.21795108887,3.77421468466,2.81912529469,0,0.5
kg_base_al,2,3,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,active_learning_8_4_4,exploitation,8,2.8264142678,2.75164735927,3.71875958096,2.75080728531,0,1
kg_base_al,2,3,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,active_learning_8_4_4,exploration,4,0.0713562736679,0.0432742829107,0.171302084257,1.47289919853,0.75,0
kg_base_al,2,3,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,active_learning_8_4_4,knowledge,4,3.2043467341,3.78986856626,5.2292463054,2.56628465652,0.25,0.75
kg_base_rag,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,agent_uq_8_3_3_2,coverage_exploration,3,2.87978238814,2.70609039018,3.50389826225,2.12499006589,0,1
kg_base_rag,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,agent_uq_8_3_3_2,evidence_prior,3,4.08746905297,4.38774529032,5.07529943739,3.64466587702,0,1
kg_base_rag,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,agent_uq_8_3_3_2,hypothesis_target,8,2.55037784644,2.91508288437,4.04596052161,2.65521064401,0,0.625
kg_base_rag,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,agent_uq_8_3_3_2,matched_control,2,0.292879586383,0.292879586383,0.581408643642,0.515314340591,0.5,0
kg_base_rag,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,agent_uq_8_3_3_2,coverage_exploration,3,0.00475424333232,0.00400853140492,0.00884139789713,0.192374626795,1,0
kg_base_rag,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,agent_uq_8_3_3_2,evidence_prior,3,2.9642347772,2.46026283378,4.0264439679,2.87689884504,0,1
kg_base_rag,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,agent_uq_8_3_3_2,hypothesis_target,8,3.36566977874,3.26396664617,4.4857497292,3.49897760153,0,1
kg_base_rag,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,agent_uq_8_3_3_2,matched_control,2,0.0291989457409,0.0291989457409,0.0366883204078,0.645135402679,1,0
